Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
BRASILIA;48078;12014.000183/2011-54;(PREGÃO) PREGÃO ELETRÔNICO ATÉ R$ 80 MIL;10446523000110 - PRESTA SERVIÇOS TECNICOS LTDA;SERVIÇOS CONTÍNUOS DE LIMPEZA, COPA E RECEPÇÃO;27/12/2011;LEI 10.520/2002 E DECRETO 5.450/2005.;02/01/2012;27/12/2011;26/12/2012;42092,82
BRASILIA SEDE;48079;19863.000186/2011-36;(INEXIGIBILIDADE) INEXIGIBILIDADE ACIMA DE R$ 80 MIL;00858039000144 - PHD BRASIL LTDA;CESSÃO DE DIREITO DE USO PERMANENTE DE LICENÇA CORPORATIVA DO SOFTWARE SYNCSORT FOR Z/OS;29/12/2011;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;02/01/2012;29/12/2011;28/06/2012;1483000
FORTALEZA;48064;19865.000151/2011-87;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;06315308000102 - SMS ENGENHARIS E COMÉRCIO LTDA;SERVIÇOS DE ADEQUAÇÕES NOS AMBIENTES DO ESCRITÓRIO DE SÃO LUIS/MA.;14/12/2011;LEI 10.520/2002 E DECRETO 5.450/2005.;02/01/2012;14/12/2011;09/08/2012;105000
RECIFE;48069;19866.000083/2011-46;(PREGÃO) PREGÃO ELETRÔNICO ATÉ R$ 80 MIL;33000118000179 - TELEMAR NORTE LESTE SA;SERVIÇO TELEFÔNICO FIXO COMUTADO - STFC;01/12/2011;LEI 10.520/2002 E DECRETO 5.450/2005.;02/01/2012;01/12/2011;30/11/2012;13962,65
BRASILIA SEDE;48083;19863.000192/2011-93;(INEXIGIBILIDADE) INEXIGIBILIDADE ACIMA DE R$ 80 MIL;08469511000169 - CA PROGRAMAS DE COMPUTADOR, PARTICIPAÇÕES E SERVIÇOS LTDA. (CA);CESSÃO DE DIREITO DE USO, PARA OS PRODUTOS OUTPUT MANAGEMENT (CA-SPOOL), MANAGEMENT (CA-ENDEVOR) E MANAGEMENT (CA-ROSCOE).;02/01/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;04/01/2012;02/01/2012;01/01/2016;28950981,12
RECIFE;48080;19866.000110/2011-81;(PREGÃO) PREGÃO ELETRÔNICO ATÉ R$ 80 MIL;02934234000131 - NE - SUPRIMENTOS EM GERAL E SERVIÇOS LTDA;AQUISIÇÃO DE CADEIRAS ERGONÔMICAS.;28/12/2011;LEI 10.520/2002 E DECRETO 5.450/2005.;04/01/2012;29/12/2011;12/03/2012;19857
RECIFE;48081;19866.000160/2011-68;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;08466488000159 - GVP AUTO LOCADORA & SERVIÇOS LTDA;SERVIÇOS CONTÍNUOS DE TRASNPORTE DE EMPREGADOS, EQUPAMENTOS E MATERIAIS;29/12/2011;LEI 10.520/2002 E DECRETO 5.450/2005.;04/01/2012;02/01/2012;01/01/2013;400000
RECIFE;48084;19866.000161/2011-11;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;06081565000127 - Santa Júlia Incorporadora e Construtora Ltda;SERVIÇOS DE REFORMA DE AMBIENTES.;30/12/2011;LEI 10.520/2002 E DECRETO 5.450/2005.;04/01/2012;30/12/2011;27/05/2012;166900
SAO PAULO;48082;70387.000030/2011-75;(PREGÃO) ADESÃO A ATA DE REGISTRO DE PREÇOS ACIMA DE R$ 80 MIL;00717511000129 - CPM BRAXIS OUTSOURCING S/A;AQUISIÇÃO DE SOLUÇÃO DE VIRTUALIZAÇÃO;28/12/2011;ART. 15, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C O ART. 8º, DO DECRETO 3.931/2001, COM A REDAÇÃO DADA PELO DECRETO 4.342/2002. ;04/01/2012;29/12/2011;28/06/2012;1469745
BELO HORIZONTE;48093;19868.000031/2008-54;(OUTROS INSTRUMENTOS) ADITIVOS;06227199000171 - PERINATAL SERVIÇOS MÉDICOS S/S ;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;09/01/2012;23/12/2011;22/12/2012;221268,72
