Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
BELO HORIZONTE;48226;19868.000042/2010-59;(OUTROS INSTRUMENTOS) ADITIVOS;03108004000186 - Alpha Vigilância e Segurança Ltda;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;01/02/2012;09/02/2012;08/02/2013;683453,4
BRASILIA;48251;12014.000164/2011-28;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;04134686000164 - nilsa maria rodrigues da silva - EPP;AQUISIÇÃO E INSTALAÇÃO DE PAREDES DIVISORIAS;11/01/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;01/02/2012;11/01/2012;10/01/2013;461947
FORTALEZA;48227;19865.000015/2011-97;(OUTROS INSTRUMENTOS) ADITIVOS;70315650000101 - L S Projetos e Serviços Ltda ;REPACTUAR O VALOR DO CONTRATO.;19/01/2012;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;01/02/2012;19/01/2012;26/05/2012;38884,02
RIO DE JANEIRO;48248;12023.000438/2011-70;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;33530486000129 - EMPRESA BRASILEIRA DE TELECOMUNICACOES;SERVIÇOS DE TELEFONIA MÓVEL;19/01/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;01/02/2012;23/01/2012;22/01/2013;53667,2
BRASILIA;48262;12014.000073/2008-97;(OUTROS INSTRUMENTOS) ADITIVOS;24907701000177 - TEMPER Engenharia e Comércio Ltda;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;02/02/2012;03/02/2012;02/02/2013;71904
RECIFE;48268;19866.000086/2011-80;(OUTROS INSTRUMENTOS) ADITIVOS;26415117000120 - ROCHA BRESSAN ENGENHARIA INDUSTRIA E COMERCIO LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;;ART. 57, § 1º, INCISO V, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;02/02/2012;06/05/2012;19/06/2012;0
FORTALEZA;48275;19865.000048/2007-51;(OUTROS INSTRUMENTOS) ADITIVOS;23497944000111 - Associação Beneficente ao Menor Carente do Parque  São José;DISTRATAR O CONTRATO ORIGINAL;;ART. 79, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;03/02/2012;02/01/2012;02/01/2012;0
FORTALEZA;48276;19865.000040/2008-75;(OUTROS INSTRUMENTOS) ADITIVOS;07341423000114 - SIND. DAS EMP. DE TRANSP. DE PAS. DO CE-SINDIÔNIBUS;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;27/01/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;03/02/2012;11/02/2012;10/02/2013;192000
BRASILIA;48271;12014.000077/2009-56;(OUTROS INSTRUMENTOS) ADITIVOS;32928418000150 - SUBLIME SERVIÇOS GERAIS;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;06/02/2012;03/02/2012;02/02/2013;760991,62
FORTALEZA;48277;19865.000002/2011-18;(OUTROS INSTRUMENTOS) ADITIVOS;40432544000147 - CLARO S/A;ACRESCIMO DE 3 (TRÊS) LICENÇAS DE TELEFONIA.;07/11/2011;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";06/02/2012;07/11/2011;22/05/2012;3012,97
