Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
CURITIBA;48533;19870.000001/2012-85;(PREGÃO) PREGÃO ELETRÔNICO ATÉ R$ 80 MIL;12229984000166 - EXCELLEN SERVICOS E MANUTENCOES DE OBRAS LTDA;AQUISIÇÃO E INSTALAÇÃO DE TRANSFORMADOR;27/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;01/03/2012;27/02/2012;24/08/2012;59000
BRASILIA;48541;12014.000122/2006-20;(OUTROS INSTRUMENTOS) ADITIVOS;32901779000102 - NILTON CORREIA ADVOGADOS ASSOCIADOS;AUMENTO DO QUANTITATIVO PROCESSOS;;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";02/03/2012;29/02/2012;13/08/2012;4840,57
SALVADOR;48540;19867.000267/2011-04;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;08491024000100 - FERREIRA & GOMES TRANSPORTE LTDA - EPP;SERVIÇOS DE TRANSPORTES.;29/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;02/03/2012;01/03/2012;28/02/2013;276000
BRASILIA;48545;12014.000212/2011-88;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;00597589000157 - ELLITE INDÚSTRIA GRÁFICA EDITORA E COMÉRCIO LTDA;SERVIÇOS GRÁFICOS - REVISTA TEMA.;18/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;06/03/2012;22/02/2012;21/02/2013;61260
RIO DE JANEIRO;48546;12023.000309/2011-81;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;92753268000112 - STEMAC S.A GRUPOS GERADORES;FORNECIMENTO DE GRUPOS GERADORES.;17/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;06/03/2012;17/02/2012;14/08/2012;1715000
RIO DE JANEIRO;48550;12023.000074/2008-22;(OUTROS INSTRUMENTOS) ADITIVOS;03160875000149 - ALAMANDA PAISAGISMO E MEIO ANBIENTE LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;29/02/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;06/03/2012;02/03/2012;01/03/2013;229722
SAO PAULO;48543;70387.000035/2011-06;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;03535902000110 - DECISION SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO LTDA;MANUTENÇÃO PARA DIRECTORS FIBRE CHANNEL.;28/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;06/03/2012;28/02/2012;27/02/2013;96000
SAO PAULO;48544;70387.000027/2011-51;(PREGÃO) ADESÃO A ATA DE REGISTRO DE PREÇOS ACIMA DE R$ 80 MIL;81243735000148 - POSITIVO INFORMÁTICA S/A;AQUISIÇÃO DE ESTAÇÃO DE TRABALHO;29/02/2012;ART. 15, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C O ART. 8º, DO DECRETO 3.931/2001, COM A REDAÇÃO DADA PELO DECRETO 4.342/2002. ;06/03/2012;29/02/2012;28/08/2012;3864790
SAO PAULO;48549;12032.000014/2009-81;(OUTROS INSTRUMENTOS) ADITIVOS;00077362000261 - DELTA ENGENHARIA INDUSTRIA E COMERCIO LTDA ;REPACTUAR O VALOR DO CONTRATO;29/02/2012;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;06/03/2012;29/02/2012;31/08/2014;58761,72
BRASILIA;48606;12014.000003/2011-34;(INEXIGIBILIDADE) INEXIGIBILIDADE ACIMA DE R$ 80 MIL;00082024000137 - CAESB;FORNECIMENTO DE ÀGUA E COLETA DE ESGOTO SANITARIO;01/03/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;09/03/2012;01/03/2012;28/02/2017;1759153,2
