Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
BELEM;48713;19864.000011/2012-08;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;06001738000150 - ECL-EMPRESA DE CONSTRUÇÃO LTDA- EPP;SERVIÇOS DE ADEQUAÇÃO DE INFRAESTRUTURA DO NOVO ESCRITÓRIO EM MACAPÁ/AP.;19/03/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;03/04/2012;19/03/2012;16/07/2012;140100
BRASILIA;48712;12014.000043/2011-86;(CONCORRÊNCIA) CONCORRÊNCIA;26415117000120 - ROCHA BRESSAN ENGENHARIA INDUSTRIA E COMERCIO LTDA;OBRA DE INSTALAÇÃO DA NOVA SUBESTAÇAO REBAIXADORA DE ENERGIA ELETRICA NA REGIONAL BRASILIA;28/03/2012;"ART. 23, INCISO I, ALÍNEA ""C"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";03/04/2012;28/03/2012;27/03/2013;10335149,2
BRASILIA;48714;12014.000162/2011-39;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;04562412000176 - G4S ENGENHARIA E SISTEMAS S/A;FORNECIMENTO E INSTALAÇÃO DE EQUIPAMENTO DE CFTV, CONTROLE DE ACESSO E AUTOMAÇÃO;26/03/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;03/04/2012;20/03/2012;19/06/2013;257163
RIO DE JANEIRO;48722;12023.000344/2011-09;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;10876620000142 - COMERCIAL FERREIRA & GOBI LTDA-ME;SERVIÇOS DE INSTALAÇÃO DE SISTEMA DE PROTEÇÃO CONTRA DESCARGAS ATMOSFÉRICAS;30/03/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;04/04/2012;30/03/2012;27/07/2012;81500
FLORIANOPOLIS;48727;19871.000175/2011-57;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;02631287000183 - GRUGER GRUPOS GERADORES LTDA.;AQUISIÇÃO E INSTALAÇÃO DE UM GRUPO MOTOR-GERADOR;30/03/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;05/04/2012;30/03/2012;29/03/2013;71000
SAO PAULO;48726;12032.000057/2012-62;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;05208211000138 - Servtec Instalações e Manutenção Ltda.;PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREDIAL;14/03/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;05/04/2012;01/04/2012;31/12/2012;1644999,57
BRASILIA;48729;12014.000104/2011-13;(OUTROS INSTRUMENTOS) ADITIVOS;08242189000130 - VIPPASI ENGENHARIA LTDA;PRORROGAR EXECUÇÃO E VIGÊNCIA DO CONTRATO.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;09/04/2012;19/05/2012;05/06/2012;0
BRASILIA;48734;12014.000037/2012-18;(DISPENSA DE LICITAÇÃO) DISPENSA ABAIXO DE R$ 80 MIL;00638411000107 - MONTHEC COMERCIO SERVIÇOS E SOLUÇÕES IND. LTDA;LOCAÇÃO DE TRANSFORMADOR DE 1000 KVA;09/03/2012;ART. 24, INCISO IV, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;09/04/2012;09/03/2012;04/09/2012;80000
BRASILIA SEDE;48723;19863.000039/2012-47;(PREGÃO) ADESÃO A ATA DE REGISTRO DE PREÇOS ATÉ R$ 80 MIL;00717958000106 - MARIO LUIZ FREIRE DOS SANTOS - ME;AQUISIÇÃO DE ESTAÇÕES DE TRABALHO DO TIPO MACBOOK.;29/03/2012;ART. 15, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C O ART. 8º, DO DECRETO 3.931/2001, COM A REDAÇÃO DADA PELO DECRETO 4.342/2002. ;09/04/2012;29/03/2012;28/09/2012;44370
BRASILIA SEDE;48730;70387.000062/2008-75;(OUTROS INSTRUMENTOS) ADITIVOS;33530486000129 - EMPRESA BRASILEIRA DE TELECOMUNICACOES;PRORROGAR A VIGÊNCIA DO CONTRATO POR 12 MESES.;23/03/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;09/04/2012;26/03/2012;25/03/2013;508855,96
BRASILIA SEDE;48731;70387.000062/2008-75;(OUTROS INSTRUMENTOS) ADITIVOS;33530486000129 - EMPRESA BRASILEIRA DE TELECOMUNICACOES;PRORROGAR A VIGÊNCIA DO CONTRATO POR 12 MESES.;23/03/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;09/04/2012;27/03/2012;26/03/2013;97393,57
BRASILIA SEDE;48732;19863.000005/2012-52;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;10682614000154 - CLAUDIA MARTINS SANTOS FIGARO ME;SERVIÇOS DE TREINAMENTO AVANÇADO;02/04/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;09/04/2012;02/04/2012;01/10/2012;46000
RIO DE JANEIRO;48728;12023.000101/2007-86;(OUTROS INSTRUMENTOS) ADITIVOS;00674347000110 - Nutrifit Assessoria e Consultoria em Saúde Ltda;SUPRESSÃO DE SERVIÇOS;30/03/2012;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";09/04/2012;01/01/2012;13/02/2013;91301,88
RECIFE;48742;19866.000221/2011-97;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;04634004000182 - CLIMOAR CLIMATIZAÇÃO LTDA ME;AQUISIÇÃO E INSTALAÇÃO DE RECUPERADORES DE CALOR;23/03/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;10/04/2012;23/03/2012;19/08/2012;147920
SAO PAULO;48755;12032.000106/2007-08;(OUTROS INSTRUMENTOS) ADITIVOS;01756239000159 - COSTA RICA SERVIÇOS TÉCNICOS LTDA - EPP;DISTRATAR CONTRATO DE PRESTAÇÃO DE SERVIÇOS DE MAUTENÇÃO PREDIAL.;;ART. 79, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;10/04/2012;31/03/2012;31/03/2012;0
SAO PAULO;48757;12032.000005/2007-29;(OUTROS INSTRUMENTOS) ADITIVOS;00854903000130 - COENMA ENGENHARIA  LTDA;DISTRATAR CONTRATO.;;ART. 79, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;10/04/2012;01/03/2012;01/03/2012;0
BRASILIA SEDE;48774;19863.000005/2012-52;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;06290671000110 - AMBIENTE LIVRE ASSESSORIA EM SISTEMAS DE INFORMÁTICA LTDA;SERVIÇOS DE TREINAMENTO PARA ADMINISTRAÇÃO DE AMBIENTES PENTAHO;02/04/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;12/04/2012;09/04/2012;08/10/2012;30790
FLORIANOPOLIS;48772;19871.000185/2011-92;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;02699847000131 - LACERDA SISTEMAS DE ENERGIA LTDA.;AQUISIÇÃO E INSTALAÇÃO DE NO-BREAK;04/04/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;12/04/2012;04/04/2012;30/09/2012;64600
FORTALEZA;48793;19865.000028/2012-47;(PREGÃO) PREGÃO ELETRÔNICO ATÉ R$ 80 MIL;04423286000179 - BELNET COMÉRCIO E SERVIIÇOS LTDA;AQUISIÇÃO E INSTALAÇÃO DE MATERIAIS DE TELECOMUNICAÇÃO PARA O SISTEMA DE VOZ IP - VOIP;02/04/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;12/04/2012;04/04/2012;01/08/2012;26000
FORTALEZA;48801;19865.000003/2011-62;(OUTROS INSTRUMENTOS) ADITIVOS;04129689000100 - INTELLISISTEMAS-SISTEMAS DE AUTOMAÇÃO E MANUTENÇÃO LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;28/03/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;12/04/2012;01/04/2012;31/03/2013;59778
PORTO ALEGRE;48776;19871.000095/2010-11;(OUTROS INSTRUMENTOS) ADITIVOS;94989985000173 - CLAVEL COMERCIAL ELETRO-ELETRÔNICA LTDA.;REPACTUAR O VALOR DO CONTRATO;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;12/04/2012;04/04/2012;16/01/2013;1468,08
SAO PAULO;48799;70387.000020/2011-30;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;05280162000144 - AYNIL SOLUÇÕES S.A.;AQUISIÇÃO DE SOLUÇÃO DE FILTRO DE CONTEÚDO WEB;10/04/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;12/04/2012;10/04/2012;09/04/2017;10938894,2
CURITIBA;48733;19870.000008/2011-16;(OUTROS INSTRUMENTOS) ADITIVOS;03502533000160 - VIDA EMERGÊNCIAS MÉDICAS LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR 12 MESES.;01/04/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;13/04/2012;01/04/2012;31/03/2013;227844
BELO HORIZONTE;48818;19868.000173/2011-17;(DISPENSA DE LICITAÇÃO) DISPENSA ACIMA DE R$ 80 MIL ;06981180000116 - CEMIG DISTRIBUIÇÃO S.A;FORNECIMENTO DE ENERGIA ELÉTRICA;10/04/2012;ART. 24, INCISO XXII, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;16/04/2012;10/04/2012;09/04/2017;4352280
FORTALEZA;48814;19865.000015/2012-78;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;13120618000137 - NOVEX CONSTRUÇÕES LTDA-ME;SERVIÇOS COMPLEMENTARES DE REFORMA E AMPLIAÇÃO DA REGIONAL FORTALEZA;02/04/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;16/04/2012;02/04/2012;27/11/2012;479705,72
