Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
RIO DE JANEIRO;48891;12023.000064/2009-78;(OUTROS INSTRUMENTOS) ADITIVOS;03502099000118 - ACE SEGURADORA S/A;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;31/01/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;03/05/2012;01/02/2012;31/01/2013;33400
BRASILIA;48895;12014.000011/2011-81;(OUTROS INSTRUMENTOS) ADITIVOS;05578790000100 - AMAURI MASCARO NASCIMENTO;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES.;10/04/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;07/05/2012;11/04/2012;10/04/2013;150000
BRASILIA;48897;12014.000076/2009-10;(OUTROS INSTRUMENTOS) ADITIVOS;00028986000612 - Elevadores Atlas Schindler S/A;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;07/05/2012;26/04/2012;25/04/2013;10080
BRASILIA SEDE;48892;70387.000016/2011-71;(OUTROS INSTRUMENTOS) ADITIVOS;05206385000161 - HUGHES TELECOMUNICAÇÕES DO BRASIL LTDA;ALTERAR CLÁUSULA DO CONTRATO;30/04/2012;"ART. 65, INCISO I, ALÍNEA ""A"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";07/05/2012;30/04/2012;11/09/2016;0
BRASILIA SEDE;48894;19863.000015/2012-98;(INEXIGIBILIDADE) INEXIGIBILIDADE ACIMA DE R$ 80 MIL;03341541000171 - RTM - REDE DE TELECOMUNICAÇÕES  PARA O MERCADO LTDA.;SERVIÇO DE COMUNICAÇÃO IP MULTISSERVIÇOS;06/04/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;07/05/2012;14/05/2012;13/05/2015;195072,48
BRASILIA SEDE;48896;19863.000039/2009-41;(OUTROS INSTRUMENTOS) ADITIVOS;03420926000124 - GLOBAL VILLAGE TELECOM LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;11/04/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;07/05/2012;13/04/2012;12/04/2013;288935,09
BRASILIA SEDE;48899;70387.000062/2008-75;(OUTROS INSTRUMENTOS) ADITIVOS;02421421000111 - INTELIG TELECOMUNICAÇÕES LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;23/03/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;07/05/2012;26/03/2012;25/03/2013;112989,59
BELEM;48914;19864.000046/2011-58;(OUTROS INSTRUMENTOS) TERMO DE AJUSTE DE CONTAS;07243477000147 - CAETÉ IMÓVEIS & SERVIÇO DE LOCAÇÃO DE MÃO DE OBRA LTDA.;TERMO DE AJUSTE DE CONTAS AO CONTRATO DE RG Nº 46.920;02/05/2012;ART. 59, PARÁGRAFO ÚNICO, DA LEI 8.666/1993 E SUAS ALTERAÇÕES C/C ART. 884 DA LEI 10.406/2002 (CÓDIGO CIVIL) E ART. 60 A 64 DA LEI 4.320/1964.;08/05/2012;02/05/2012;15/06/2012;101,62
BELEM;48915;19864.000001/2011-83;(OUTROS INSTRUMENTOS) TERMO DE AJUSTE DE CONTAS;07243477000147 - CAETÉ IMÓVEIS & SERVIÇO DE LOCAÇÃO DE MÃO DE OBRA LTDA.;TERMO DE AJUSTE DE CONTAS AO CONTRATO DE RG Nº 45.454;02/05/2012;ART. 59, PARÁGRAFO ÚNICO, DA LEI 8.666/1993 E SUAS ALTERAÇÕES C/C ART. 884 DA LEI 10.406/2002 (CÓDIGO CIVIL) E ART. 60 A 64 DA LEI 4.320/1964.;08/05/2012;02/05/2012;15/06/2012;1411,78
BELO HORIZONTE;48906;19868.000001/2010-62;(OUTROS INSTRUMENTOS) ADITIVOS;04437161000106 - QUALITÉCNICA EMPRESA NACIONAL DE SERVIÇOS LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA.;08/05/2012;03/05/2012;02/05/2013;648172,92
