Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
BRASILIA;49199;12014.000042/2009-17;ADITIVOS;00691905000155 - COOP. MISTA DE TRANSPORTE RODOVIARIO - COOPERTRAN LTDA;REPACTUAÇÃO DO VALOR E PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO. ;02/07/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;04/07/2012;29/07/2012;28/07/2013;1093227,35
BRASILIA;49199;12014.000042/2009-17;ADITIVOS;00691905000155 - COOP. MISTA DE TRANSPORTE RODOVIARIO - COOPERTRAN LTDA;REPACTUAÇÃO DO VALOR E PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO. ;02/07/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;04/07/2012;29/07/2012;28/07/2013;1093227,35
BRASILIA SEDE;49189;19863.000140/2012-06;(INEXIGIBILIDADE) INEXIGIBILIDADE ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;33372251000156 - IBM BRASIL - INDÚSTRIA, MÁQUINAS E SERVIÇOS LTDA;EXPANSÃO E ATUALIZAÇÃO TECNOLÓGICA DA CAPACIDADE PRODUTIVA IBM MAINFRAME, IBM RISC E SERVIÇOS DE SUPORTE TÉCNICO.;29/06/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;04/07/2012;29/06/2012;28/06/2013;35061545,97
BELEM;49204;19864.000024/2012-79;(DISPENSA DE LICITAÇÃO) DISPENSA ACIMA DE R$ 80 MIL  - ATÉ JUNHO 2012;04895728000180 - CENTRAIS ELÉTRICAS DO PARÁ S.A - CELPA;FORNECIMENTO DE ENERGIA ELÉTRICA.;28/06/2012;ART. 24, INCISO XXII, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;05/07/2012;01/07/2012;30/06/2017;3000000
BELEM;49207;19864.000013/2012-99;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;12444381000187 - BRAVA COMERCIAL E SERVIÇOS LTDA;AQUISIÇÃO DE GRUPO GERADOR. ;29/06/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;05/07/2012;09/07/2012;08/07/2013;214940
PORTO ALEGRE;49202;19871.000040/2012-72;(INEXIGIBILIDADE) INEXIGIBILIDADE ATÉ R$ 80 MIL - ATÉ JUNHO 2012;88630413000281 - UNIÃO BRASILEIRA DE EDUCAÇÃO E ASSISTÊNCIA (PUC);CURSO DE EDUCAÇÃO PÓS GRADUADA.;25/06/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;05/07/2012;25/06/2012;31/12/2013;30000
SALVADOR;49205;19867.000078/2010-42;ADITIVOS;03595040000111 - TMW EMPREENDIMENTOS E SERVIÇOS LTDA;REPACTUAR O VALOR DO CONTRATO.;20/06/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;05/07/2012;22/06/2012;02/01/2013;644874,48
BRASILIA SEDE;49210;19863.000150/2012-33;(INEXIGIBILIDADE) INEXIGIBILIDADE ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;33372251000156 - IBM BRASIL - INDÚSTRIA, MÁQUINAS E SERVIÇOS LTDA;CESSÃO DE DIREITO DE USO DE PRODUTOS IBM.;29/06/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;06/07/2012;29/06/2012;28/06/2013;73300448,39
SAO PAULO;49190;70387.000007/2012-61;(PREGÃO) ADESÃO A ATA DE REGISTRO DE PREÇOS ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;01162636000100 - B2BR - BUSINESS TO BUSINESS INFORMÁTICA DO BRASIL S/A;AQUISIÇÃO DE DISCOS HIGH-END.;28/06/2012;ART. 15, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C O ART. 8º, DO DECRETO 3.931/2001, COM A REDAÇÃO DADA PELO DECRETO 4.342/2002. ;06/07/2012;28/06/2012;27/12/2012;9407937,66
SAO PAULO;49191;70387.000007/2012-61;(PREGÃO) ADESÃO A ATA DE REGISTRO DE PREÇOS ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;33426420000193 - UNISYS DO BRASIL LTDA;AQUISIÇÃO DE DISCOS MIDRANGE.;28/06/2012;ART. 15, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C O ART. 8º, DO DECRETO 3.931/2001, COM A REDAÇÃO DADA PELO DECRETO 4.342/2002. ;06/07/2012;28/06/2012;27/12/2012;1712204,15
