Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
BRASILIA;49371;12014.000033/2007-64;TERMO DE AJUSTE DE CONTAS;03677044000220 - CORAL EMPRESA DE SEGURANÇA LTDA;TERMO DE AJUSTE DE CONTAS AO CONTRATO DE RG Nº 40.580;;ART. 59, PARÁGRAFO ÚNICO, DA LEI 8.666/1993 E SUAS ALTERAÇÕES C/C ART. 884 DA LEI 10.406/2002 (CÓDIGO CIVIL) E ART. 60 A 64 DA LEI 4.320/1964.;01/08/2012;30/07/2012;29/10/2012;365607,40
BRASILIA;49372;12014.000055/2012-91;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;14839801000150 - FEDERAL SECURITY LTDA-EPP;AQUISIÇÃO DE EQUIPAMENTOS DE SISTEMA CFTV.;30/07/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;01/08/2012;30/07/2012;29/10/2012;104700,00
RIO DE JANEIRO ANDARAÍ;49374;12023.000174/2012-35;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;10302648000176 - R&L INDÚATRIA E COMEÉRCIO DE ARTIGOS DE DECORAÇÕES LTDA - ME;AQUISIÇÃO E INSTALAÇÃO DE PAINÉIS EM VIDRO TEMPERADO;26/07/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;02/08/2012;26/07/2012;22/12/2012;97950,00
SAO PAULO;49375;70387.000006/2012-17;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;72843212000141 - GLOBAL CROSSING COMUNICAÇÃO DO BRASIL LTDA;SERVIÇOS DE COMUNICAÇÃO DE DADOS.;23/07/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;02/08/2012;31/07/2012;30/07/2017;557499,60
BELO HORIZONTE;49380;19868.000042/2010-59;ADITIVOS;03108004000186 - Alpha Vigilância e Segurança Ltda;REPACTUAR O VALOR DO CONTRATO.;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;06/08/2012;27/07/2012;08/02/2013;82353,36
RIO DE JANEIRO ANDARAÍ;49379;12023.000090/2012-00;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;34059055000199 - ELEVADORES IDEAL LTDA - EPP;SERVIÇOS DE MODERNIZAÇÃO E MANUTENÇÃO DE ELEVADORES.;27/07/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;06/08/2012;01/08/2012;31/07/2014;434989,08
BELEM;49383;19864.000010/2011-74;ADITIVOS;02341467000120 - AMAZONAS DISTRIBUIDORA DE ENERGIA S/A;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;30/07/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;07/08/2012;01/08/2012;31/07/2013;63215,00
BELEM;49385;19864.000061/2011-04;ADITIVOS;10587618000153 - Amazônia Clean Limpeza e Conservação Ltda.;REPACTUAR O VALOR DO CONTRATO;01/08/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;08/08/2012;01/08/2012;30/11/2016;32296,60
BRASILIA SEDE;49387;70387.000016/2011-71;(OUTROS INSTRUMENTOS) ADITIVOS - ATÉ JUNHO 2012;05206385000161 - HUGHES TELECOMUNICAÇÕES DO BRASIL LTDA;ALTERAR CLÁUSULA DO CONTRATO.;06/08/2012;"ART. 65, INCISO I, ALÍNEA ""A"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";08/08/2012;06/08/2012;11/09/2016;0,00
CURITIBA;49388;19870.000026/2010-17;ADITIVOS;08097681000160 - PROTERM AR CONDICIONADO LTDA.;RESCISÃO CONTRATUAL.;20/07/2012;ART. 79, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/08/2012;20/07/2012;20/07/2012;0,00
