Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
BRASILIA;49543;12014.000152/2011-01;ADITIVOS;08531933000117 - ABC SERVIÇOS GERAIS LTDA;REPACTUAR O VALOR DO CONTRATO.;29/08/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;03/09/2012;29/08/2012;15/11/2012;6920,19
BRASILIA SEDE;49555;19863.000046/2008-62;(OUTROS INSTRUMENTOS) ADITIVOS - ATÉ JUNHO 2012;34028316000707 - EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;PRORROGAÇÃO DO CONTRATO E ALTERAÇÃO DE CLÁUSULA CONTRATUAL.;31/08/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;05/09/2012;01/10/2012;30/09/2013;1560000,00
BRASILIA SEDE;49555;19863.000046/2008-62;(OUTROS INSTRUMENTOS) ADITIVOS - ATÉ JUNHO 2012;34028316000707 - EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;PRORROGAÇÃO DO CONTRATO E ALTERAÇÃO DE CLÁUSULA CONTRATUAL.;31/08/2012;"ART. 65, INCISO I, ALÍNEA ""A"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";05/09/2012;01/10/2012;30/09/2013;1560000,00
BRASILIA SEDE;49556;19863.000046/2008-62;(OUTROS INSTRUMENTOS) ADITIVOS - ATÉ JUNHO 2012;34028316000707 - EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;PRORROGAÇÃO DO CONTRATO E ALTERAÇÃO DE CLÁUSULA CONTRATUAL.;31/08/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA.;05/09/2012;26/09/2012;25/09/2013;360000,00
BRASILIA SEDE;49556;19863.000046/2008-62;(OUTROS INSTRUMENTOS) ADITIVOS - ATÉ JUNHO 2012;34028316000707 - EMPRESA BRASILEIRA DE CORREIOS E TELÉGRAFOS;PRORROGAÇÃO DO CONTRATO E ALTERAÇÃO DE CLÁUSULA CONTRATUAL.;31/08/2012;"ART. 65, INCISO I, ALÍNEA ""A"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";05/09/2012;26/09/2012;25/09/2013;360000,00
BRASILIA SEDE;49557;19863.000062/2010-70;ADITIVOS;06185191000190 - GGROUP CONSULTORIA LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;29/08/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;05/09/2012;30/08/2012;29/08/2013;78000,00
BRASILIA SEDE;49561;19863.000051/2011-71;ADITIVOS;76659820000151 - ASSOCIAÇÃO PARANAENSE DE CULTURAS;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;14/08/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;05/09/2012;15/08/2012;14/08/2013;15430,00
CURITIBA;49560;19870.000053/2012-51;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;01240760000139 - TRANSSÓLIDO TRANSPORTE DE RESÍDUOS LTDA.;SERVIÇOS DE LOCAÇÃO E REMOÇÃO DE CAÇAMBAS PARA RETIRADA DE RESÍDUOS DO TIPO ENTULHO.;28/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005 C/C ART.48, INCISO I DA LC 123/2006.;05/09/2012;03/09/2012;02/09/2013;17880,00
RECIFE;49568;19866.000158/2011-99;ADITIVOS;10339944000141 - ZELO LOCAÇÃO DE MÃO DE OBRA LTDA;REPACTUAR O VALOR DO CONTRATO.;16/08/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;05/09/2012;16/08/2012;11/12/2012;6366,57
RIO DE JANEIRO ANDARAÍ;49553;12023.000024/2011-41;ADITIVOS;02449992018101 - VIVO S/A;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;21/08/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;05/09/2012;23/08/2012;22/08/2013;53400,00
