Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
BRASILIA SEDE;49658;;INEXIGIBILIDADE COM PROCESSO DECISÓRIO;02593165000140 - GARTNER DO BRASIL SERVIÇOS DE PESQUISAS LTDA;SERVIÇOS DE PESQUISA E ACONSELHAMENTO EM TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO (TIC).;27/09/2012;ART. 25, INCISO II E § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;01/10/2012;27/09/2012;26/09/2013;2726000,00
BRASILIA SEDE;49660;19863.000150/2012-33;ADITIVOS;33372251000156 - IBM BRASIL - INDÚSTRIA, MÁQUINAS E SERVIÇOS LTDA;ALTERAR CLÁUSULAS DO CONTRATO.;26/09/2012;ART. 54, § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;01/10/2012;26/09/2012;29/06/2013;0,00
SAO PAULO;49653;70387.000012/2012-74;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;05633507000104 - MAXSYS BRASIL COMERCIO E SERVIÇOS LTDA.;SERVICOS DE IMPRESSAO INDUSTRIAL;27/09/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;01/10/2012;27/09/2012;26/09/2016;8399664,00
BRASILIA SEDE;49659;;INEXIGIBILIDADE COM PROCESSO DECISÓRIO;07594862000139 - SOFTWARE AG BRASIL INFORMÁTICA E SERVIÇOS LTDA;UPGRADE, MANUTENÇÃO, ATUALIZAÇÃO E SUPORTE TÉCNICO AOS PRODUTOS ADABAS/NATURAL ;28/09/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;02/10/2012;28/09/2012;27/12/2013;14471644,40
CAMPO GRANDE;49667;12014.000087/2012-97;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;08338786000163 - Barao Tur Transportes e Turismo Ltda - ME;SERVIÇO DE TRANSPORTE ESCRITÓRIO CAMPO GRANDE.;17/09/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;02/10/2012;17/09/2012;16/09/2013;78184,31
PALMAS;49668;12014.000086/2012-42;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;14487384000123 - CAPIM DOURADO RENT A CAR;SERVIÇO DE TRANSPORTE ESCRITÓRIO PALMAS.;10/09/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;02/10/2012;10/09/2012;09/09/2013;108230,25
PORTO ALEGRE;49669;19871.000186/2011-37;ADITIVOS;94565892000111 - ON LINE TELEINFORMÁTICA E CONSTRUÇÕES ELÉTRICAS LTDA - EPP;ACRÉSCIMO DE SERVIÇOS E PRORROGAR VIGÊNCIA DO CONTRATO.;;ART. 57,  § 1º, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;02/10/2012;08/09/2012;06/11/2012;32684,66
PORTO ALEGRE;49669;19871.000186/2011-37;ADITIVOS;94565892000111 - ON LINE TELEINFORMÁTICA E CONSTRUÇÕES ELÉTRICAS LTDA - EPP;ACRÉSCIMO DE SERVIÇOS E PRORROGAR VIGÊNCIA DO CONTRATO.;;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";02/10/2012;08/09/2012;06/11/2012;32684,66
SAO PAULO;49661;12032.000152/2012-66;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;53499240000149 - BEIJA FLOR Locadora de Veiculos Ltda. - EPP;SERVIÇOS DE TRANSPORTE PARA EMPREGADOS.;24/09/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;02/10/2012;24/09/2012;23/09/2017;938986,50
BELO HORIZONTE;49670;19868.000036/2012-63;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;57753527000104 - RECALL DO BRASIL LTDA;SERVIÇO DE COLETA E GUARDA DE DOCUMENTOS.;12/09/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;03/10/2012;12/09/2012;11/09/2013;285902,40
