Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
BRASILIA SEDE;49793;19863.000166/2012-46;ADITIVOS;21649280000133 - BULL LTDA;ALTERAÇÃO DE SUBCLÁUSULAS CONTRATUAIS.;30/10/2012;"ART. 65, INCISO I, ALÍNEA ""A"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";01/11/2012;30/10/2012;31/07/2013;0
CURITIBA;49792;19870.000051/2012-62;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;78720653000132 - ELEVADORES FIEL IND. COM. LTDA.;PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA TÉCNICA DE ELEVADORES.;23/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;01/11/2012;26/10/2012;25/10/2013;13047,6
SALVADOR;49794;19867.000065/2010-73;ADITIVOS;15243835000140 - Mag Engenharia Consultoria Comercio e Representações Ltda;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;01/11/2012;01/11/2012;31/10/2013;439137,6
BELEM;49791;19864.000022/2012-80;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;62005301000165 - AMPLIMAG CONTROLES ELETRÔNICOS LTDA;SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE NO-BREAK'S.;24/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;05/11/2012;24/10/2012;23/10/2017;961800
PORTO ALEGRE;49797;19871.000134/2011-61;ADITIVOS;94851250000189 - CCS SERVIÇOS TERCEIRIZADOS LTDA - ME;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;05/11/2012;01/11/2012;31/10/2013;220252,2
SAO PAULO;49796;12032.000183/2012-17;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;03541616000168 - Ductbusters Engenharia Limitada;AQUISIÇÃO E INSTALAÇÃO DE AR CONDICIONADO.;29/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;05/11/2012;29/10/2012;18/03/2013;268300
BRASILIA;49799;12014.000104/2012-96;DISPENSA DE LICITAÇÃO;61600839000155 - Centro de Integração Empresa Escola CIEE;PRESTAÇÃO DE SERVIÇOS PARA SELEÇÃO, CONTRATAÇÃO E CAPACITAÇÃO DE JOVENS E ADOLESCENTES EM PROGRAMA DE APRENDIZAGEM PARA O SERPRO PALMAS/TO  ;19/10/2012;ART. 24, INCISO XIII, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;07/11/2012;19/10/2012;18/10/2014;11969,28
BRASILIA;49814;12014.000126/2012-56;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;08394772000167 - CARLA DIAS VIAGENS E EVENTOS LTDA-ME;CONTRATAÇÃO DE EMPRESA DE EVENTOS ;31/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;07/11/2012;31/10/2012;15/01/2013;242000
BRASILIA;49822;12014.000113/2012-87;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;10475898000108 - HORIZONTE INDÚSTRIA E COMERCIO DE TENDAS E TOLDOS LTDA;FORNECIMENTO E INSTALAÇÃO DE COBERTURA PARA ESTACIONAMENTO.;05/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005 C/C ART.48, INCISO I DA LC 123/2006.;07/11/2012;05/11/2012;03/05/2013;23000
PORTO ALEGRE;49820;19871.000070/2010-17;ADITIVOS;93531366000178 - MILSUL COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;07/11/2012;20/11/2012;19/11/2013;41242,2
