Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
BRASILIA SEDE;49946;19863.000108/2010-51;ADITIVOS;03718040000161 - CALANDRA SOLUÇÕES LTDA;PRORROGAÇÃO DO CONTRATO POR 24 (VINTE E QUATRO) MESES.;22/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA.;04/12/2012;26/11/2012;25/11/2014;301104
BRASILIA;49966;12014.000184/2011-07;ADITIVOS;08837257000104 - PLANVIL SEGURANÇA LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;29/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;05/12/2012;20/12/2012;19/12/2013;126348,48
BRASILIA;49967;12014.000063/2010-76;ADITIVOS;03698870000174 - EMERSON NETWORKPOWER DO BRASIL LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES E REPACTUAR VALOR DO CONTRATO.;26/11/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;05/12/2012;01/12/2012;30/11/2013;320604,17
BRASILIA;49967;12014.000063/2010-76;ADITIVOS;03698870000174 - EMERSON NETWORKPOWER DO BRASIL LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES E REPACTUAR VALOR DO CONTRATO.;26/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;05/12/2012;01/12/2012;30/11/2013;320604,17
FORTALEZA;49965;19865.000060/2012-22;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;07668799000138 - STATUS COMÉRCIO E SERVIÇOS DE INFORMÁTICA LTDA;SERVIÇOS DE ADEQUAÇÃO NO AMBIENTE.;20/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;05/12/2012;20/11/2012;19/03/2013;57890
RIO DE JANEIRO HORTO;49963;12023.000216/2012-38;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;68565530000110 - ANGEL'S SERVIÇOS TÉCNICOS LTDA;SERVIÇOS DE COPEIRAGEM COM FORNECIMENTO DE MATERIAIS.;29/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;05/12/2012;01/12/2012;30/11/2013;859227,2
RIO DE JANEIRO HORTO;49973;70387.000008/2012-14;ADITIVOS;11745674000131 - RIET TURISMO E VIAGENS LTDA ME;ALTERAR CLÁUSULAS DO CONTRATO.;26/11/2012;"ART. 65, INCISO II, ALÍNEA ""D"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";05/12/2012;26/11/2012;23/07/2013;0
SALVADOR;49964;19867.000110/2012-51;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;05238556000134 - HUFFIX AMBIENTES EMPRESARIAIS INDÚSTRIA E COMÉRCIO DE MÓVEIS LTDA;AQUISIÇÃO E INSTALAÇÃO DE CONJUNTOS DE ARQUIVAMENTO.;30/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;05/12/2012;19/11/2012;18/12/2012;43570
BELEM;49980;19864.000038/2010-21;ADITIVOS;08823749000140 - R PINHEIRO GRIMM - TRANSPORTES;ACRÉSCIMO DE UM VEÍCULO PELO PERÍODO DE 60 DIAS NO CONTRATO DE PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE PARA O ESCRITÓRIO DE MANAUS.;29/11/2012;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";06/12/2012;29/11/2012;27/01/2013;8333,16
BRASILIA;49982;12014.000112/2012-32;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;57753527000104 - RECALL DO BRASIL LTDA;SERVIÇOS DE GESTÃO DOCUMENTAL.;24/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;06/12/2012;30/10/2012;29/10/2017;1224726,6
BRASILIA SEDE;49974;70387.000012/2011-93;ADITIVOS;32219511000195 - BIG BLUE COMÉRCIO E SERVIÇOS DE INFORMÁTICA LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES E REPACTUAR VALOR DO CONTRATO.;27/11/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;06/12/2012;01/12/2012;30/11/2013;244800
BRASILIA SEDE;49974;70387.000012/2011-93;ADITIVOS;32219511000195 - BIG BLUE COMÉRCIO E SERVIÇOS DE INFORMÁTICA LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES E REPACTUAR VALOR DO CONTRATO.;27/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA.;06/12/2012;01/12/2012;30/11/2013;244800
